employee_id,fullname,nip,years_of_service_months,company,area,position,department,division,directorate,grade,education,major,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki
EMP100020,Yoga Erlangga Hartanto,850478.0,31,PT Aurora Beauty Indonesia,Plant,Brand Executive,R&D,Sales,Commercial,IV,SMA,Psychology,83.0,83.0,DC,dominant-conscientious,ENFP,132.0,33.0,1
EMP100021,Oka Candra Kurniawan,828497.0,81,PT Lumo Cosmetics Asia,Plant,Brand Executive,Marketing,Product Dev,HR & Corp Affairs,V,S1,Statistics,22.0,34.0,CS,conscientious-steadiness,INFP,109.51351351351352,27.464839094159714,2
EMP100022,Oka Nugroho,674733.0,53,PT VASKA Wellness,Distribution,Data Analyst,IT,Digital Marketing,HR & Corp Affairs,IV,S2,Economics,49.0,94.0,IC,influencer-conscientious,ISTP,91.0,35.0,8
EMP100023,Adit Kurniawan,555024.0,49,PT Mandala Distribution Center,HQ,Finance Officer,HR,Digital Marketing,HR & Corp Affairs,IV,SMA,Business,86.0,52.0,DC,dominant-conscientious,ESTJ,139.0,30.0,5
EMP100024,Rendra Candra Maulida,884289.0,44,PT VASKA Wellness,Distribution,Sales Supervisor,IT,Operations,HR & Corp Affairs,IV,S2,Engineering,64.0,23.0,CD,conscientious-dominant,ESTP,134.0,23.0,5
EMP100025,Rizky Dharma Purnama,786831.0,20,PT Aurora Beauty Indonesia,Plant,Brand Executive,HR,Talent Management,Technology,V,S1,Design,53.0,71.0,CS,conscientious-steadiness,ESTJ,109.51351351351352,34.0,8
EMP100026,Wulan Yudhistira Tamba,926498.0,65,PT Mandala Distribution Center,Distribution,HRBP,HR,Talent Management,HR & Corp Affairs,IV,SMA,Economics,96.0,37.0,IS,influencer-steadiness,ESFJ,107.0,32.0,4
EMP100027,Oka Rohman,176075.0,132,PT Lumo Cosmetics Asia,Plant,Data Analyst,Finance,Talent Management,Commercial,V,S2,Design,93.0,76.0,SC,steadiness-conscientious,INFP,97.0,18.0,9
EMP100028,Nadia Saputra,373327.0,22,PT Lumo Cosmetics Asia,Distribution,Finance Officer,IT,Sales,Commercial,IV,SMA,Psychology,95.0,71.0,SI,steadiness-influencer,INFP,107.0,20.0,3
EMP100029,Satya Adi Hasibuan,491714.0,32,PT Lumo Cosmetics Asia,Plant,Sales Supervisor,R&D,Talent Management,Commercial,III,D3,Psychology,93.0,85.0,DC,dominant-conscientious,INTP,105.0,29.0,10
EMP100030,Rizky Anugrah Permadi,276288.0,56,PT Lumo Cosmetics Asia,Distribution,Sales Supervisor,IT,Sales,HR & Corp Affairs,V,S2,Engineering,46.0,100.0,DS,dominant-steadiness,ESTJ,110.0,22.0,4
EMP100031,Julia Nabila Kurniawan,379652.0,34,PT Mandala Distribution Center,Store,Finance Officer,HR,Sales,Technology,IV,SMA,Design,34.0,93.0,CD,conscientious-dominant,INTJ,103.0,35.0,3
EMP100032,Galih Mahardika Purnama,980623.0,34,PT VASKA Wellness,Distribution,Finance Officer,R&D,Product Dev,Technology,III,SMA,Design,29.0,85.0,DS,dominant-steadiness,ENTJ,109.51351351351352,36.0,7
EMP100033,Ahmad Simanjuntak,846300.0,37,PT VASKA Wellness,HQ,Sales Supervisor,IT,Digital Marketing,Technology,IV,SMA,Economics,53.0,83.0,ID,influencer-dominant,ENFP,117.0,23.0,6
EMP100034,Ari Adi Ginting,510070.0,86,PT Aurora Beauty Indonesia,Store,Supply Planner,Operations,Talent Management,HR & Corp Affairs,III,SMA,Business,34.0,35.0,DS,dominant-steadiness,ENFP,116.0,35.0,5
EMP100035,Oka Tamba,243414.0,57,PT Lumo Cosmetics Asia,Store,Brand Executive,Operations,Sales,Technology,V,S1,Engineering,84.0,36.0,DI,dominant-influencer,Unknown,103.0,28.0,7
EMP100036,Ayunda Utama Lestari,515963.0,54,PT VASKA Wellness,Distribution,Brand Executive,R&D,Sales,Technology,V,S1,Economics,96.0,81.0,CD,conscientious-dominant,ESFJ,120.0,28.0,3
EMP100037,Nabila Ramadhan,967856.0,52,PT Aurora Beauty Indonesia,Distribution,Supply Planner,Marketing,Operations,Commercial,IV,S1,Statistics,45.0,41.0,CI,conscientious-influencer,ISTJ,109.51351351351352,27.464839094159714,1
EMP100038,Bella Tri Setiawan,446315.0,50,PT Lumo Cosmetics Asia,Plant,Supply Planner,Operations,Product Dev,HR & Corp Affairs,V,SMA,Design,28.0,51.0,IC,influencer-conscientious,ESFP,93.0,36.0,2
EMP100039,Budi Adi Permadi,476249.0,65,PT VASKA Wellness,HQ,HRBP,IT,Operations,HR & Corp Affairs,III,S2,Engineering,51.0,52.0,SI,steadiness-influencer,ISFP,125.0,41.0,9
EMP100040,Rifqi Putra,751135.0,81,PT Lumo Cosmetics Asia,Distribution,HRBP,HR,Operations,Technology,IV,SMA,Design,55.0,36.0,ID,influencer-dominant,ESTP,112.0,24.0,10
EMP100041,Lestari Maulana,135400.0,99,PT Mandala Distribution Center,HQ,Finance Officer,R&D,Operations,Commercial,III,S1,Engineering,53.0,32.0,IS,influencer-steadiness,ISTJ,86.0,25.0,7
EMP100042,Oka Lukman,191210.0,28,PT Lumo Cosmetics Asia,Plant,Supply Planner,HR,Sales,HR & Corp Affairs,III,SMA,Economics,63.0,43.0,CD,conscientious-dominant,ENFP,139.0,25.0,1
EMP100043,Nugroho Indrawan,123837.0,40,PT VASKA Wellness,HQ,Finance Officer,Marketing,Operations,HR & Corp Affairs,III,D3,Economics,41.0,97.0,SD,steadiness-dominant,ESFJ,109.51351351351352,27.464839094159714,9
EMP100044,Indra Maulida,742065.0,8,PT Mandala Distribution Center,Store,Sales Supervisor,IT,Digital Marketing,HR & Corp Affairs,III,S1,Statistics,74.0,44.0,ID,influencer-dominant,ESFP,82.0,41.0,5
EMP100045,Dimas Mahendra,581488.0,38,PT VASKA Wellness,Plant,Data Analyst,IT,Sales,Commercial,V,D3,Psychology,99.0,71.0,DS,dominant-steadiness,ISTJ,111.0,23.0,1
EMP100046,Fitri Lestari,117913.0,64,PT Lumo Cosmetics Asia,Store,Brand Executive,Marketing,Product Dev,Commercial,IV,S1,Statistics,67.0,91.0,DC,dominant-conscientious,ISTJ,109.51351351351352,27.464839094159714,6
EMP100047,Hadi Pradana,161695.0,58,PT Lumo Cosmetics Asia,HQ,Data Analyst,HR,Talent Management,Commercial,III,S2,Psychology,61.0,55.0,ID,influencer-dominant,ISTJ,110.0,22.0,1
EMP100048,Adit Halim,557326.0,50,PT Lumo Cosmetics Asia,Store,HRBP,Operations,Sales,Technology,III,SMA,Statistics,37.0,32.0,SI,steadiness-influencer,ESFJ,125.0,36.0,1
EMP100049,Rizki Halim Siregar,453636.0,35,PT Aurora Beauty Indonesia,Store,Sales Supervisor,Finance,Digital Marketing,Commercial,V,SMA,Statistics,94.0,30.0,DC,dominant-conscientious,INTP,133.0,27.0,5
EMP100050,Joko Ridwan,411437.0,69,PT Mandala Distribution Center,Plant,HRBP,IT,Talent Management,Technology,III,S1,Design,81.0,54.0,DC,dominant-conscientious,Unknown,131.0,32.0,6
EMP100051,Ari Mahardika Nugroho,286318.0,98,PT Mandala Distribution Center,Store,Sales Supervisor,Finance,Sales,Technology,III,S2,Psychology,94.0,61.0,CS,conscientious-steadiness,INFP,110.0,36.0,7
EMP100052,Sari Yudhistira Mahendra,740192.0,23,PT Aurora Beauty Indonesia,Store,HRBP,HR,Digital Marketing,HR & Corp Affairs,V,S2,Economics,69.0,55.0,IC,influencer-conscientious,ISTJ,126.0,36.0,10
EMP100053,Anisa Pamungkas,770602.0,52,PT Aurora Beauty Indonesia,Plant,Brand Executive,IT,Product Dev,Commercial,V,S2,Psychology,97.0,71.0,IS,influencer-steadiness,ISFJ,140.0,23.0,5
EMP100054,Nugroho Maulida,239182.0,22,PT VASKA Wellness,Store,HRBP,IT,Talent Management,Commercial,III,S1,Economics,23.0,42.0,SI,steadiness-influencer,ISTJ,88.0,36.0,8
EMP100055,Putri Nugroho,153339.0,42,PT Aurora Beauty Indonesia,HQ,Supply Planner,Finance,Sales,Commercial,IV,SMA,Psychology,50.0,80.0,DS,dominant-steadiness,INFJ,124.0,26.0,9
EMP100056,Ayunda Ramadhan,401856.0,96,PT Mandala Distribution Center,Store,Brand Executive,Marketing,Product Dev,HR & Corp Affairs,III,S2,Economics,44.0,20.0,CI,conscientious-influencer,INTJ,109.51351351351352,27.464839094159714,5
EMP100057,Nurlita Kusuma,285929.0,60,PT Lumo Cosmetics Asia,HQ,Supply Planner,HR,Sales,Technology,V,D3,Engineering,39.0,27.0,IS,influencer-steadiness,ENTP,123.0,35.0,9
EMP100058,Adit Anugrah Halim,827158.0,66,PT Lumo Cosmetics Asia,Plant,Data Analyst,Marketing,Digital Marketing,HR & Corp Affairs,V,S1,Engineering,60.0,96.0,CS,conscientious-steadiness,INTJ,109.51351351351352,27.464839094159714,8
EMP100059,Fajar Dharma Subekti,404880.0,75,PT VASKA Wellness,Plant,Finance Officer,HR,Sales,Commercial,V,SMA,Statistics,64.0,77.0,SI,steadiness-influencer,Unknown,92.0,13.0,9
EMP100060,Wulan Maulida,302930.0,44,PT Aurora Beauty Indonesia,Store,Finance Officer,Marketing,Digital Marketing,Technology,IV,S1,Design,46.0,96.0,CS,conscientious-steadiness,ENTP,109.51351351351352,27.464839094159714,7
EMP100061,Oktavia Anugrah Setiawan,275683.0,46,PT Mandala Distribution Center,Plant,Supply Planner,Marketing,Digital Marketing,Commercial,V,D3,Psychology,92.0,22.0,IC,influencer-conscientious,ENTP,109.51351351351352,27.464839094159714,6
EMP100062,Valdo Jatmiko Mahendra,249908.0,40,PT Lumo Cosmetics Asia,Plant,HRBP,R&D,Product Dev,HR & Corp Affairs,IV,S2,Design,42.0,25.0,DI,dominant-influencer,ISTP,89.0,31.0,8
EMP100063,Ayu Lestari Pradana,461165.0,42,PT VASKA Wellness,Distribution,Brand Executive,Marketing,Operations,Commercial,III,S2,Psychology,45.0,96.0,SC,steadiness-conscientious,ESFP,109.51351351351352,27.464839094159714,8
EMP100064,Kurnia Purnama,551120.0,38,PT Aurora Beauty Indonesia,HQ,Supply Planner,Operations,Sales,Technology,V,D3,Statistics,55.0,27.0,IS,influencer-steadiness,ESTP,96.0,26.0,4
EMP100065,Rani Saputra,240200.0,24,PT Aurora Beauty Indonesia,Store,Brand Executive,Finance,Sales,HR & Corp Affairs,IV,D3,Engineering,22.0,29.0,CS,conscientious-steadiness,ISFP,90.0,34.0,10
EMP100066,Tania Lestari Setiawan,378824.0,65,PT Aurora Beauty Indonesia,Store,Finance Officer,Finance,Operations,Commercial,III,D3,Business,54.0,64.0,CD,conscientious-dominant,ENTJ,84.0,28.0,10
EMP100067,Indra Zulfikar,696462.0,89,PT Aurora Beauty Indonesia,Plant,Finance Officer,Finance,Operations,Commercial,V,D3,Business,40.0,38.0,SD,steadiness-dominant,INTJ,101.0,20.0,6
EMP100068,Nabila Qolbi Suharto,671201.0,68,PT Mandala Distribution Center,Distribution,Finance Officer,HR,Talent Management,HR & Corp Affairs,III,SMA,Business,34.0,60.0,DI,dominant-influencer,INTP,109.51351351351352,16.0,5
EMP100069,Anisa Permadi,252350.0,61,PT Aurora Beauty Indonesia,Plant,HRBP,HR,Sales,Technology,III,S1,Design,36.0,41.0,IC,influencer-conscientious,INFJ,93.0,36.0,10
EMP100070,Kartika Rachman Ramadhan,855424.0,47,PT Lumo Cosmetics Asia,Store,Supply Planner,HR,Sales,Technology,III,D3,Psychology,74.0,38.0,DC,dominant-conscientious,ENFJ,137.0,36.0,2
EMP100071,Rafa Situmorang,871247.0,72,PT VASKA Wellness,Plant,HRBP,IT,Sales,Technology,III,S1,Engineering,38.0,52.0,DC,dominant-conscientious,ENTP,107.0,35.0,7
EMP100072,Nugroho Hartanto,161630.0,45,PT VASKA Wellness,Distribution,Finance Officer,Operations,Product Dev,Commercial,III,S2,Statistics,92.0,40.0,CI,conscientious-influencer,INFP,87.0,32.0,4
EMP100073,Dimas Halim Ananda,972245.0,85,PT VASKA Wellness,Plant,Finance Officer,IT,Talent Management,Commercial,V,S2,Business,42.0,31.0,IC,influencer-conscientious,ESTJ,104.0,35.0,9
EMP100074,Ari Utama Putra,100945.0,32,PT Mandala Distribution Center,Distribution,Data Analyst,Finance,Product Dev,HR & Corp Affairs,V,D3,Economics,52.0,76.0,CI,conscientious-influencer,INTJ,131.0,25.0,4
EMP100075,Rizki Halim Zulfikar,290052.0,24,PT Lumo Cosmetics Asia,Distribution,Sales Supervisor,Marketing,Talent Management,Technology,III,SMA,Engineering,31.0,78.0,ID,influencer-dominant,INTP,109.51351351351352,27.464839094159714,2
EMP100076,Rizki Wijaya,458782.0,4,PT Aurora Beauty Indonesia,Plant,Supply Planner,Operations,Sales,HR & Corp Affairs,III,S2,Business,90.0,52.0,IS,influencer-steadiness,ESFP,80.0,34.0,4
EMP100077,Novi Setiawan,115692.0,35,PT Lumo Cosmetics Asia,Store,Finance Officer,IT,Digital Marketing,Technology,III,S2,Psychology,79.0,57.0,CD,conscientious-dominant,ENFJ,135.0,32.0,1
EMP100078,Indra Anggara,811320.0,39,PT Aurora Beauty Indonesia,Distribution,Supply Planner,IT,Digital Marketing,Technology,V,SMA,Business,99.0,46.0,SI,steadiness-influencer,ISTP,84.0,19.0,8
EMP100079,Novi Hasibuan,298849.0,67,PT Mandala Distribution Center,Store,Finance Officer,IT,Sales,Commercial,III,D3,Psychology,22.0,38.0,DS,dominant-steadiness,ISTJ,122.0,23.0,5
EMP100080,Andi Mahardika Handayani,274945.0,43,PT VASKA Wellness,Distribution,Data Analyst,IT,Product Dev,Technology,IV,SMA,Design,55.0,29.0,DC,dominant-conscientious,ENFJ,87.0,36.0,8
EMP100081,Ari Yulianto,447230.0,85,PT Aurora Beauty Indonesia,Store,Supply Planner,Finance,Product Dev,Technology,V,S2,Economics,49.0,31.0,CS,conscientious-steadiness,ENFP,138.0,23.0,7
EMP100082,Budi Dharma Lukman,247239.0,63,PT Lumo Cosmetics Asia,Store,Brand Executive,IT,Operations,Technology,V,SMA,Business,94.0,39.0,CS,conscientious-steadiness,INTP,133.0,27.0,6
EMP100083,Rizka Erlangga Subekti,286153.0,19,PT Aurora Beauty Indonesia,Plant,Supply Planner,R&D,Digital Marketing,Technology,IV,SMA,Business,50.0,81.0,CD,conscientious-dominant,ENTJ,99.0,30.0,2
EMP100084,Dian Rachman Handayani,735572.0,16,PT Aurora Beauty Indonesia,Plant,Supply Planner,HR,Digital Marketing,Technology,IV,D3,Design,56.0,48.0,SD,steadiness-dominant,Unknown,118.0,36.0,5
EMP100085,Ahmad Rohman,540638.0,22,PT VASKA Wellness,Store,Data Analyst,IT,Sales,HR & Corp Affairs,V,S1,Business,86.0,61.0,CS,conscientious-steadiness,ENTJ,109.51351351351352,26.0,8
EMP100086,Rani Syahputra,503804.0,23,PT Lumo Cosmetics Asia,Plant,HRBP,R&D,Talent Management,Commercial,V,S2,Economics,79.0,76.0,IC,influencer-conscientious,ISTJ,110.0,36.0,3
EMP100087,Rizka Ananda,649357.0,12,PT VASKA Wellness,Distribution,Brand Executive,R&D,Operations,HR & Corp Affairs,V,S2,Economics,36.0,63.0,DS,dominant-steadiness,ENFP,109.0,25.0,2
EMP100088,Nadia Saputra Mahendra,192144.0,38,PT VASKA Wellness,Store,Finance Officer,HR,Sales,Commercial,III,S2,Statistics,29.0,88.0,CS,conscientious-steadiness,ISFP,83.0,29.0,5
EMP100089,Umar Simanjuntak,179520.0,56,PT Aurora Beauty Indonesia,HQ,Sales Supervisor,Marketing,Product Dev,Technology,V,S1,Engineering,97.0,26.0,CD,conscientious-dominant,Unknown,109.51351351351352,27.464839094159714,10
EMP100090,Maya Pratomo,304860.0,27,PT VASKA Wellness,Store,Supply Planner,Operations,Sales,HR & Corp Affairs,IV,S1,Psychology,48.0,96.0,DS,dominant-steadiness,ESTJ,109.51351351351352,29.0,1
EMP100091,Oka Candra Firmansyah,109937.0,10,PT Mandala Distribution Center,Distribution,Finance Officer,IT,Digital Marketing,Commercial,IV,S2,Business,36.0,83.0,DS,dominant-steadiness,ENFP,102.0,23.0,6
EMP100092,Ahmad Indrawan,810984.0,68,PT VASKA Wellness,Distribution,Data Analyst,Marketing,Digital Marketing,Technology,V,S1,Design,43.0,51.0,IC,influencer-conscientious,ENTJ,109.51351351351352,27.464839094159714,1
EMP100093,Nadia Lestari Utami,218189.0,57,PT Aurora Beauty Indonesia,Distribution,Data Analyst,Operations,Product Dev,Technology,IV,S1,Statistics,71.0,31.0,CS,conscientious-steadiness,ENTP,93.0,24.0,3
EMP100094,Nadia Utama Yulianto,838236.0,33,PT Mandala Distribution Center,Distribution,Brand Executive,IT,Product Dev,Technology,III,S1,Engineering,24.0,50.0,SD,steadiness-dominant,INFJ,95.0,16.0,6
EMP100095,Fitri Pamungkas,186709.0,41,PT VASKA Wellness,Store,Finance Officer,Marketing,Talent Management,HR & Corp Affairs,IV,S2,Psychology,66.0,40.0,SC,steadiness-conscientious,ISFJ,109.51351351351352,27.464839094159714,5
EMP100096,Rama Dharma Wibowo,349891.0,77,PT Mandala Distribution Center,Plant,Data Analyst,R&D,Operations,Commercial,IV,S2,Engineering,42.0,78.0,SI,steadiness-influencer,ENTJ,109.51351351351352,20.0,7
EMP100097,Valdo Subekti,922054.0,64,PT Aurora Beauty Indonesia,Distribution,Supply Planner,HR,Digital Marketing,Technology,III,S1,Economics,44.0,76.0,DC,dominant-conscientious,INFJ,109.51351351351352,32.0,2
EMP100098,Indra Hidayat,843650.0,57,PT Lumo Cosmetics Asia,Store,Finance Officer,IT,Digital Marketing,Commercial,V,S1,Business,37.0,32.0,ID,influencer-dominant,ENTJ,128.0,17.0,9
EMP100099,Tania Suharto,635643.0,46,PT Lumo Cosmetics Asia,Store,HRBP,Marketing,Operations,HR & Corp Affairs,III,S1,Statistics,52.0,80.0,SC,steadiness-conscientious,ESTJ,109.51351351351352,27.464839094159714,7
EMP100100,Intan Rachman Suharto,198295.0,55,PT Mandala Distribution Center,Store,Brand Executive,Marketing,Digital Marketing,Commercial,IV,D3,Design,44.0,56.0,DC,dominant-conscientious,Unknown,109.51351351351352,27.464839094159714,6
EMP100101,Yoga Pratomo,264764.0,51,PT Lumo Cosmetics Asia,Distribution,HRBP,Finance,Digital Marketing,HR & Corp Affairs,V,SMA,Psychology,35.0,97.0,IC,influencer-conscientious,ESTJ,81.0,26.0,2
EMP100102,Dinda Permadi,342888.0,22,PT Aurora Beauty Indonesia,HQ,Finance Officer,R&D,Digital Marketing,Technology,III,S2,Economics,47.0,89.0,SI,steadiness-influencer,INTJ,111.0,19.0,5
EMP100103,Ayu Ginting,310700.0,32,PT Mandala Distribution Center,Distribution,Data Analyst,IT,Digital Marketing,Technology,IV,D3,Business,62.0,73.0,IS,influencer-steadiness,ESTJ,105.0,26.0,2
EMP100104,Budi Pratama,642860.0,81,PT Mandala Distribution Center,Store,HRBP,IT,Product Dev,HR & Corp Affairs,III,SMA,Statistics,80.0,37.0,DC,dominant-conscientious,ISTP,102.0,23.0,9
EMP100105,Maya Yulianto,653381.0,16,PT VASKA Wellness,Distribution,Brand Executive,Marketing,Sales,HR & Corp Affairs,III,SMA,Business,50.0,45.0,SC,steadiness-conscientious,ENFJ,109.51351351351352,27.464839094159714,7
EMP100106,Valdo Wijaya Wijaya,335938.0,64,PT Lumo Cosmetics Asia,Plant,Brand Executive,R&D,Talent Management,Technology,V,SMA,Business,72.0,49.0,CD,conscientious-dominant,ENFJ,102.0,29.0,4
EMP100107,Dian Fauziah,273235.0,45,PT Mandala Distribution Center,HQ,HRBP,Operations,Product Dev,Commercial,IV,SMA,Engineering,28.0,59.0,CI,conscientious-influencer,ISFP,104.0,41.0,9
EMP100108,Dinda Erlangga Handayani,455098.0,58,PT Mandala Distribution Center,HQ,Finance Officer,IT,Talent Management,Technology,IV,S1,Statistics,73.0,70.0,DC,dominant-conscientious,ISTP,129.0,27.0,5
EMP100109,Dinda Wibowo,127614.0,55,PT Lumo Cosmetics Asia,Distribution,Data Analyst,IT,Sales,Technology,V,SMA,Engineering,90.0,96.0,DC,dominant-conscientious,ESFP,91.0,16.0,4
EMP100110,Citra Hartanto,528735.0,46,PT Lumo Cosmetics Asia,HQ,Sales Supervisor,IT,Talent Management,HR & Corp Affairs,V,S2,Engineering,36.0,63.0,SD,steadiness-dominant,INFP,97.0,37.0,5
EMP100111,Rendra Herlambang,510681.0,44,PT VASKA Wellness,HQ,Finance Officer,R&D,Sales,Commercial,V,S2,Psychology,38.0,99.0,ID,influencer-dominant,ENFJ,83.0,22.0,8
EMP100112,Adit Mahardika Pratama,874330.0,36,PT Mandala Distribution Center,Store,Finance Officer,Finance,Sales,Technology,III,D3,Economics,88.0,83.0,DC,dominant-conscientious,ENTP,132.0,25.0,7
EMP100113,Iman Rachman Rahmawati,313238.0,55,PT Aurora Beauty Indonesia,Store,Brand Executive,R&D,Product Dev,Commercial,IV,D3,Psychology,57.0,72.0,ID,influencer-dominant,INTJ,117.0,28.0,10
EMP100114,Vania Fadillah Fauziah,475116.0,15,PT VASKA Wellness,HQ,HRBP,Marketing,Talent Management,HR & Corp Affairs,IV,SMA,Design,33.0,29.0,DI,dominant-influencer,INFJ,109.51351351351352,27.464839094159714,7
EMP100115,Satya Yudhistira Lukman,804211.0,41,PT VASKA Wellness,Distribution,Brand Executive,HR,Sales,HR & Corp Affairs,III,S2,Engineering,21.0,62.0,IS,influencer-steadiness,ENFJ,90.0,23.0,7
EMP100116,Bayu Ridwan,747077.0,50,PT VASKA Wellness,HQ,Supply Planner,Marketing,Product Dev,HR & Corp Affairs,V,S1,Psychology,89.0,40.0,SI,steadiness-influencer,ISFP,109.51351351351352,27.464839094159714,7
EMP100117,Prasetyo Gunawan,362939.0,39,PT Mandala Distribution Center,Store,HRBP,R&D,Operations,HR & Corp Affairs,IV,S1,Statistics,40.0,98.0,DI,dominant-influencer,INFJ,86.0,25.0,5
EMP100118,Julia Pramudita Hartanto,244488.0,53,PT Mandala Distribution Center,Store,HRBP,HR,Talent Management,Technology,V,S1,Engineering,67.0,31.0,IC,influencer-conscientious,ISTJ,109.51351351351352,32.0,2
EMP100119,Iman Ginting,562438.0,1,PT VASKA Wellness,HQ,Supply Planner,Finance,Product Dev,Commercial,IV,S1,Economics,96.0,35.0,SI,steadiness-influencer,INTJ,102.0,29.0,1
EMP100120,Iman Maulida,949849.0,52,PT Mandala Distribution Center,HQ,Data Analyst,Finance,Operations,Commercial,IV,D3,Economics,53.0,45.0,SC,steadiness-conscientious,Unknown,127.0,29.0,8
EMP100121,Bayu Hidayat,174665.0,56,PT Aurora Beauty Indonesia,Plant,HRBP,IT,Operations,Technology,III,S1,Engineering,95.0,85.0,SD,steadiness-dominant,INFJ,84.0,21.0,10
EMP100122,Rizki Simanjuntak,580039.0,10,PT VASKA Wellness,Plant,Supply Planner,Marketing,Digital Marketing,Technology,V,S1,Design,27.0,63.0,CS,conscientious-steadiness,ESTP,109.51351351351352,27.464839094159714,2
EMP100123,Kurnia Jatmiko Permadi,557929.0,54,PT VASKA Wellness,Distribution,Sales Supervisor,HR,Digital Marketing,Commercial,IV,SMA,Design,40.0,42.0,CD,conscientious-dominant,ESTJ,107.0,27.0,8
